row,alibaba_id,slug,inferred_type,url
1,1601629560587,2025 New Style Long-lasting Scent,ambiguous,https://www.alibaba.com/product-detail/2025-New-Style-Long-lasting-Scent_1601629560587.html
2,1601624168353,Perfume Diffuser Wall Mounted App Controlled,home/commercial,https://www.alibaba.com/product-detail/Perfume-Diffuser-Wall-Mounted-App-Controlled_1601624168353.html
3,60815814812,Car Vent Aroma Air Freshener Tree,passive-car-vent,https://www.alibaba.com/product-detail/Car-Vent-Aroma-Air-Freshener-Tree_60815814812.html
4,1601582869533,Top Sale Custom Electric USB Rechargeable,electric-car-diffuser,https://www.alibaba.com/product-detail/Top-Sale-Custom-Electric-USB-Rechargeable_1601582869533.html
5,1601031849627,Car Diffuser Vent Clip Car Vent,passive-car-vent,https://www.alibaba.com/product-detail/Car-Diffuser-Vent-Clip-Car-Vent_1601031849627.html
6,1601489594111,Wholesale Aroma Diffusion System Machine,home/commercial,https://www.alibaba.com/product-detail/Wholesale-Aroma-Diffusion-System-Machine-with_1601489594111.html
7,1601585735967,CNUS C400B Hotel Collection Fragrance Electric,home/commercial,https://www.alibaba.com/product-detail/CNUS-C400B-Hotel-Collection-Fragrance-Electric_1601585735967.html
8,1601446020896,Rechargeable Plastic Timer Tower Diffusers OEM,home/portable-electric,https://www.alibaba.com/product-detail/Rechargeable-Plastic-Timer-Tower-Diffusers-OEM_1601446020896.html
9,1600618631679,2022 Hot Sale USB Wood Grain,home/portable-electric,https://www.alibaba.com/product-detail/2022-Hot-Sale-USB-Wood-Grain_1600618631679.html
10,1600195159338,Diffusor De Aromas Electric Aromatherapy Home,home/portable-electric,https://www.alibaba.com/product-detail/Diffusor-De-Aromas-Electric-Aromatherapy-Home_1600195159338.html
11,1600096673615,Mini USB Portable Aroma Oil Diffuser,electric-car-diffuser,https://www.alibaba.com/product-detail/Mini-USB-Portable-Aroma-Oil-Diffuser_1600096673615.html
12,1600180328122,2023 Popular Car Air Fresheners Aromatherapy,passive-car-vent,https://www.alibaba.com/product-detail/2023-Popular-Car-Air-Fresheners-Aromatherapy_1600180328122.html
13,1601722279720,Custom USB Rechargeable New Car Household,electric-car-diffuser,https://www.alibaba.com/product-detail/Custom-USB-Rechargeable-New-Car-Household_1601722279720.html
14,1601559199155,Luxury Attractive Pony Car Vent Clip,novelty-luxury-clip,https://www.alibaba.com/product-detail/Luxury-Attractive-Pony-Car-Vent-Clip_1601559199155.html
15,1601636601034,Brand New Portable Plastic 10ml Car,electric-car-diffuser,https://www.alibaba.com/product-detail/Brand-New-Portable-Plastic-10ml-Car_1601636601034.html
16,1601363075296,Wholesale Rechargeable Smart Car Air Freshener,electric-car-diffuser,https://www.alibaba.com/product-detail/Wholesale-Rechargeable-Smart-Car-Air-Freshener_1601363075296.html
17,1601487500470,Mini 3D AJ Sneaker Car Air,novelty-IP-RISK,https://www.alibaba.com/product-detail/Mini-3D-AJ-Sneaker-Car-Air_1601487500470.html
18,1601597423605,Unique Luxury Car Air Freshener Vent,novelty-luxury-clip,https://www.alibaba.com/product-detail/Unique-Luxury-Car-Air-Freshener-Vent_1601597423605.html
19,1601487500470,Mini 3D AJ Sneaker Car Air (DUPLICATE of row 17),duplicate,https://www.alibaba.com/product-detail/Mini-3D-AJ-Sneaker-Car-Air_1601487500470.html
20,1601649742207,Modern Electric Cordless Car Aromatherapy Diffuser,electric-car-diffuser,https://www.alibaba.com/product-detail/Modern-Electric-Free-Car-Aromatherapy-Diffuser_1601649742207.html
21,1601600998945,Wholesale Custom Logo Luxury Lambskin Car,novelty-luxury-clip,https://www.alibaba.com/product-detail/Wholesale-Custom-Logo-Luxury-Lambskin-Car_1601600998945.html
22,1601518806113,USB Rechargeable 10ml Metal Essential Oil,electric-car-diffuser,https://www.alibaba.com/product-detail/USB-Rechargeable-10ml-Metal-Essential-Oil_1601518806113.html
23,1601633857742,Luxury Camellia Car Vent Clip Air,novelty-luxury-clip,https://www.alibaba.com/product-detail/Luxury-Camellia-Car-Vent-Clip-Air_1601633857742.html
24,1601595050257,Halloween Car Air Vent Decoration Alloy,novelty-seasonal,https://www.alibaba.com/product-detail/Halloween-Car-Air-Vent-Decoration-Alloy_1601595050257.html
25,1601275699278,Custom Metal Car Perfume Car Air,passive-car-vent,https://www.alibaba.com/product-detail/Custom-Metal-Car-Perfume-Car-Air_1601275699278.html
26,1601790477131,Pear Fruit Scent Car Air Freshener,passive-car-vent,https://www.alibaba.com/product-detail/Pear-Fruit-Scent-Car-Air-Freshener_1601790477131.html
27,1601769495704,Custom Logo Fragrance Gifts Car Scent,gifting/custom-logo,https://www.alibaba.com/product-detail/Custom-Logo-Fragrance-Gifts-Car-Scent_1601769495704.html
